OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y,CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
156,DE-2009-000156,2009,09/11/2009,1900,B,0,0,1,0,1,0,0,,1. Rear End,9. Other,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5472122,39.7958158,2009 Sep 11 07:00:00 PM,6,Friday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,,,4,Rain,Y,N,N,N,N,39.7958158,-75.5472122,,,0,No,N,,,,,N,POINT (-75.547212200401 39.795815800281),N,New Castle,2009
157,DE-2011-000157,2011,07/19/2011,2052,O,0,0,0,0,0,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.65629,39.67794,2011 Jul 19 08:52:00 PM,3,Tuesday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.67794,-75.65629,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.656289999926 39.67793999968),N,New Castle,2011
158,DE-2014-000158,2014,08/29/2014,1238,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.70291,39.64784,2014 Aug 29 12:38:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.64784,-75.70291,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.702910000278 39.647839999777),N,New Castle,2014
159,DE-2010-000159,2010,08/22/2010,1623,O,0,0,0,0,0,0,0,,1. Rear End,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.6527,39.75321,2010 Aug 22 04:23:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,39.75321,-75.6527,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.652699999674 39.753209999741),N,New Castle,2010
160,DE-2013-000160,2013,10/19/2013,1925,O,0,0,0,0,0,0,0,,Not Provided,9. Other,7. Unknown,7. Other,Not Provided,,,,,,,,2. No,,,Not Provided,,,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.21132,38.5046,2013 Oct 19 07:25:00 PM,7,Saturday,1,Non-Reportable,N,N,,,Y,N,,,,,,,,,Y,N,N,N,N,38.5046,-75.21132,10,Driving under the influence,0,No,N,,,,,N,POINT (-75.21132000009 38.504599999909),S,Sussex,2013
161,DE-2015-000161,2015,02/10/2015,2015,O,0,0,0,0,0,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.52944,39.16068,2015 Feb 10 08:15:00 PM,3,Tuesday,1,Non-Reportable,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.16068,-75.52944,99,Unknown,0,No,N,,,,,N,POINT (-75.52943999999 39.160680000308),K,Kent,2015
162,DE-2011-000162,2011,08/14/2011,0520,O,0,0,0,0,0,0,0,,16. Other,5. Rain,4. Darkness - Road Lighted,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.7517,39.68199,2011 Aug 14 05:20:00 AM,1,Sunday,1,Non-Reportable,Y,N,88,Other,Y,N,2,Wet,4,Dark-Lighted,4,Rain,,,Y,N,N,N,N,39.68199,-75.7517,14,Improper backing,0,No,N,,,,,N,POINT (-75.751699999777 39.681990000237),N,New Castle,2011
163,DE-2013-000163,2013,04/20/2013,0326,O,0,0,0,0,0,0,0,,8. Non-Collision,5. Rain,5. Darkness - Road Not Lighted,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,005,005. Sussex County,,,,,,,,,,,,,-75.31158,38.6045,2013 Apr 20 03:26:00 AM,6,Friday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,,,Y,N,N,N,N,38.6045,-75.31158,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.311579999669 38.604499999918),S,Sussex,2013
164,DE-2009-000164,2009,12/29/2009,1616,O,0,0,0,0,0,0,0,,16. Other,1. No Adverse Condition (Clear/Cloudy),2. Daylight,4. Icy,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.693,39.77686,2009 Dec 29 04:16:00 PM,3,Tuesday,1,Non-Reportable,N,N,88,Other,N,N,4,Ice/Frost,1,Daylight,1,Clear,,,Y,N,N,N,N,39.77686,-75.693,19,"Other environmental circumstances - weather, glare",0,No,N,,,,,N,POINT (-75.692999999863 39.776859999953),N,New Castle,2009
165,DE-2013-000165,2013,02/28/2013,1752,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.19458,38.75588,2013 Feb 28 05:52:00 PM,5,Thursday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,38.75588,-75.19458,17,Animal in Roadway - Deer,0,No,N,,,,,N,POINT (-75.194579999874 38.75587999985),S,Sussex,2013
166,DE-2009-000166,2009,01/10/2009,1513,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5080443,39.7736365,2009 Jan 10 03:13:00 PM,7,Saturday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.7736365,-75.5080443,,,0,No,N,,,,,N,POINT (-75.508044300252 39.773636500224),N,New Castle,2009
167,DE-2009-000167,2009,12/16/2009,2123,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.5648617,39.7383033,2009 Dec 16 09:23:00 PM,4,Wednesday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,3,Dusk,1,Clear,,,Y,N,N,N,N,39.7383033,-75.5648617,,,0,No,N,,,,,N,POINT (-75.564861699927 39.73830329975),N,New Castle,2009
168,DE-2009-000168,2009,05/27/2009,1855,B,0,0,1,0,1,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.6539378,39.6898641,2009 May 27 06:55:00 PM,4,Wednesday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.6898641,-75.6539378,,,0,No,N,,,,,N,POINT (-75.653937799982 39.68986409998),N,New Castle,2009
169,DE-2011-000169,2011,01/24/2011,1512,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.64406,39.61756,2011 Jan 24 03:12:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.61756,-75.64406,8,Following too close,0,No,N,,,,,N,POINT (-75.644059999678 39.617560000302),N,New Castle,2011
170,DE-2015-000170,2015,10/07/2015,2035,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.52902,39.15729,2015 Oct 07 08:35:00 PM,4,Wednesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.15729,-75.52902,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.529019999865 39.157290000049),K,Kent,2015
171,DE-2015-000171,2015,02/15/2015,0535,O,0,0,0,0,0,0,0,,3. Head On,6. Snow,4. Darkness - Road Lighted,4. Icy,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.60715,39.32103,2015 Feb 15 05:35:00 AM,1,Sunday,2,Property Damage Only,N,N,2,Front to front,N,N,4,Ice/Frost,4,Dark-Lighted,6,Snow,,,Y,N,N,N,N,39.32103,-75.60715,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.607149999725 39.32103000019),N,New Castle,2015
172,DE-2015-000172,2015,10/20/2015,2130,B,0,0,1,0,1,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.58515,39.7001,2015 Oct 20 09:30:00 PM,3,Tuesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,3,Dusk,1,Clear,,,Y,N,N,N,N,39.7001,-75.58515,7,Improper lane change,0,No,N,,,,,N,POINT (-75.585149999702 39.700099999914),N,New Castle,2015
173,DE-2009-000173,2009,01/25/2009,0430,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.7686634,39.674583,2009 Jan 25 04:30:00 AM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,Y,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.674583,-75.7686634,,,0,No,N,,,,,N,POINT (-75.768663400225 39.67458300001),N,New Castle,2009
174,DE-2011-000174,2011,12/02/2011,0247,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.70402,39.65491,2011 Dec 02 02:47:00 AM,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,5,Dark-Not Lighted,1,Clear,,,Y,N,N,N,N,39.65491,-75.70402,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.704019999966 39.654910000141),N,New Castle,2011
175,DE-2014-000175,2014,09/05/2014,1530,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.6887,39.62079,2014 Sep 05 03:30:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.62079,-75.6887,8,Following too close,0,No,N,,,,,N,POINT (-75.688699999956 39.620789999671),N,New Castle,2014
176,DE-2014-000176,2014,08/30/2014,1835,B,0,0,1,0,1,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.1261,38.72201,2014 Aug 30 06:35:00 PM,7,Saturday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.72201,-75.1261,3,Passed Stop Sign,0,No,N,,,,,N,POINT (-75.126100000139 38.722009999929),S,Sussex,2014
177,DE-2015-000177,2015,11/06/2015,1635,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.59395,38.64862,2015 Nov 06 04:35:00 PM,6,Friday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,38.64862,-75.59395,8,Following too close,0,No,N,,,,,N,POINT (-75.59395000043 38.648620000136),S,Sussex,2015
178,DE-2014-000178,2014,03/19/2014,1600,O,0,0,0,0,0,0,0,,8. Non-Collision,5. Rain,2. Daylight,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.55167,39.70034,2014 Mar 19 04:00:00 PM,4,Wednesday,1,Non-Reportable,Y,N,0,Not a collision between two vehicles,N,N,2,Wet,1,Daylight,4,Rain,,,Y,N,N,N,N,39.70034,-75.55167,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.551670000167 39.700340000104),N,New Castle,2014
179,DE-2015-000179,2015,07/19/2015,2022,B,0,0,1,0,1,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.57334,39.69956,2015 Jul 19 08:22:00 PM,1,Sunday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.69956,-75.57334,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.573339999578 39.699560000238),N,New Castle,2015
180,DE-2016-000180,2016,02/14/2016,2111,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.68668,39.66618,2016 Feb 14 09:11:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.66618,-75.68668,7,Improper lane change,0,No,N,,,,,N,POINT (-75.6866799997 39.666180000213),N,New Castle,2016
181,DE-2011-000181,2011,08/14/2011,1505,O,0,0,0,0,0,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.14892,38.54836,2011 Aug 14 03:05:00 PM,1,Sunday,1,Non-Reportable,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.54836,-75.14892,7,Improper lane change,0,No,N,,,,,N,POINT (-75.148920000319 38.548360000165),S,Sussex,2011
182,DE-2015-000182,2015,01/09/2015,1344,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.73921,39.44336,2015 Jan 09 01:44:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.44336,-75.73921,8,Following too close,0,No,N,,,,,N,POINT (-75.739210000136 39.443360000091),N,New Castle,2015
183,DE-2015-000183,2015,10/12/2015,1205,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.65869,39.64286,2015 Oct 12 12:05:00 PM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.64286,-75.65869,19,"Other environmental circumstances - weather, glare",1,"Yes, Directly Involved",N,,,,,N,POINT (-75.658690000125 39.642859999752),N,New Castle,2015
184,DE-2015-000184,2015,07/18/2015,1214,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.45386,39.10247,2015 Jul 18 12:14:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.10247,-75.45386,16,Mechanical defects,0,No,N,,,,,N,POINT (-75.453860000117 39.10246999981),K,Kent,2015
185,DE-2011-000185,2011,01/06/2011,1820,O,0,0,0,0,0,0,0,,16. Other,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.52083,39.7615,2011 Jan 06 06:20:00 PM,5,Thursday,1,Non-Reportable,Y,N,6,Rear to side,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.7615,-75.52083,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.520830000131 39.761500000306),N,New Castle,2011
186,DE-2015-000186,2015,10/04/2015,0217,O,0,0,0,0,0,0,0,,2. Angle,9. Other,4. Darkness - Road Lighted,7. Other,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,003,003. New Castle County,,,,,,,,,,,,,-75.56568,39.74484,2015 Oct 04 02:17:00 AM,7,Saturday,1,Non-Reportable,N,N,3,Angle,N,N,99,Unknown,4,Dark-Lighted,99,Unknown,,,Y,N,N,N,N,39.74484,-75.56568,99,Unknown,0,No,N,,,,,N,POINT (-75.565679999574 39.74484000029),N,New Castle,2015
187,DE-2010-000187,2010,12/07/2010,1915,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.47766,39.78528,2010 Dec 07 07:15:00 PM,3,Tuesday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.78528,-75.47766,88,Other,0,No,N,,,,,N,POINT (-75.477660000289 39.785279999858),N,New Castle,2010
188,DE-2012-000188,2012,02/10/2012,2207,B,0,0,1,0,1,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.64209,39.66262,2012 Feb 10 10:07:00 PM,6,Friday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,3,Dusk,1,Clear,,,Y,N,N,N,N,39.66262,-75.64209,2,Failed to yield right of way,0,No,N,,,,,N,POINT (-75.64208999965 39.662619999688),N,New Castle,2012
189,DE-2012-000189,2012,12/17/2012,1706,O,0,0,0,0,0,0,0,,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.57974,39.74899,2012 Dec 17 05:06:00 PM,2,Monday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.74899,-75.57974,99,Unknown,0,No,N,,,,,N,POINT (-75.579740000108 39.748989999879),N,New Castle,2012
190,DE-2014-000190,2014,06/02/2014,1728,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.5525,39.19787,2014 Jun 02 05:28:00 PM,2,Monday,1,Non-Reportable,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.19787,-75.5525,8,Following too close,0,No,N,,,,,N,POINT (-75.55250000037 39.197870000092),K,Kent,2014
191,DE-2015-000191,2015,04/30/2015,1100,B,0,0,1,0,1,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.61428,39.73782,2015 Apr 30 11:00:00 AM,5,Thursday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.73782,-75.61428,99,Unknown,0,No,N,,,,,N,POINT (-75.61428 39.737820000312),N,New Castle,2015
192,DE-2012-000192,2012,05/08/2012,0008,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,001,001. Kent County,,,,,,,,,,,,,-75.56559,39.2072,2012 May 08 12:08:00 AM,2,Monday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,4,Dark-Lighted,1,Clear,,,Y,N,N,N,N,39.2072,-75.56559,88,Other,0,No,N,,,,,N,POINT (-75.56559000006 39.207200000109),K,Kent,2012
