Casetrackingid,Accidentdate,Accidenttime,Numberkilled,Numberinjured,Totalvehicles,Totalnonmotorists,Juvenilesinvolvedindicator,Secondarycrashindicator,Constructionzoneindicator,Schoolzoneindicator,Latitude,Longitude,Onroadaddress,_Primarystreet,_Crossstreet,Location,Numberoflanesblocked,Laneposition,Harmfulevent1,Harmfulevent2,Harmfulevent3,Harmfulevent4,Mostharmfulevent,Roadcontourcurves,Roadcontourgrade,Approachovertakingturn,Lightingcondition,Roaddescription,Roadcondition,Weathercondition1,Weathercondition2,Hitandrun_V1,Noncontact_V1,Parked_V1,Unlicenseddriver_V1,Duiindicator_V1,Vehicledefectcondition_V1,Positioninvehicle_D1,Drivingrestrictions_D1,Drivingendorsements_D1,Ejectionpath_D1,Safetyequipmentuse_D1,Safetyequipmenthelmet_D1,Age_D1,Airbagdeployment_D1,Injuryseverity_D1,Alcoholsuspected_D1,Marijuanasuspected_D1,Otherdrugssuspected_D1,Testedforotherdrugs_D1,Personsexcode_D1,Deadatscene_D1,Vehicletype_V1,Specialfunction_V1,Emergencylightsactivated_V1,Directionoftravel_V1,Vehiclemovement_V1,Roadwayspeedlimit_V1,Estimatedvehiclespeed_V1,Driverstatedspeed_V1,Driveraction1_V1,Driveraction2_V1,Mostapprthumancontrfactor1_V1,Mostapprthumancontrfactor2_V1,Mostapprthumancontrfactor3_V1,Autonomousvehiclecapability_V1,Drivercededcontrol_V1,Nonmotoristtype_V1,Nonmotoristmovement_V1,Nonmotoristlocation_V1,Nonmotoristlegofint_V1,Nonmotoristtypeoffacility_V1,Nonmotoristaction1_V1,Nonmotoristaction2_V1,Nonmotoristcontrfctr1_V1,Nonmotoristcontrfctr2_V1,Nonmotoristcontrfctr3_V1,Hitandrun_V2,Noncontact_V2,Parked_V2,Unlicenseddriver_V2,Duiindicator_V2,Vehicledefectcondition_V2,Positioninvehicle_D2,Drivingrestrictions_D2,Drivingendorsements_D2,Ejectionpath_D2,Safetyequipmentuse_D2,Safetyequipmenthelmet_D2,Age_D2,Airbagdeployment_D2,Injuryseverity_D2,Alcoholsuspected_D2,Marijuanasuspected_D2,Otherdrugssuspected_D2,Testedforotherdrugs_D2,Personsexcode_D2,Vehicletype_V2,Specialfunction_V2,Emergencylightsactivated_V2,Directionoftravel_V2,Vehiclemovement_V2,Roadwayspeedlimit_V2,Estimatedvehiclespeed_V2,Driverstatedspeed_V2,Driveraction1_V2,Driveraction2_V2,Mostapprthumancontrfactor1_V2,Mostapprthumancontrfactor2_V2,Mostapprthumancontrfactor3_V2,Autonomousvehiclecapability_V2,Drivercededcontrol_V2,Nonmotoristtype_V2,Nonmotoristmovement_V2,Nonmotoristlocation_V2,Nonmotoristlegofint_V2,Nonmotoristtypeoffacility_V2,Nonmotoristaction1_V2,Nonmotoristaction2_V2,Nonmotoristcontrfctr1_V2,Nonmotoristcontrfctr2_V2,Nonmotoristcontrfctr3_V2,Hitandrun_V3,Noncontact_V3,Parked_V3,Unlicenseddriver_V3,Duiindicator_V3,Positioninvehicle_D3,Drivingrestrictions_D3,Drivingendorsements_D3,Ejection_D3,Safetyequipmentuse_D3,Age_D3,Airbagdeployment_D3,Injuryseverity_D3,Alcoholsuspected_D3,Marijuanasuspected_D3,Otherdrugssuspected_D3,Testedforotherdrugs_D3,Personsexcode_D3,Vehicletype_V3,Specialfunction_V3,Emergencylightsactivated_V3,Directionoftravel_V3,Vehiclemovement_V3,Roadwayspeedlimit_V3,Estimatedvehiclespeed_V3,Driverstatedspeed_V3,Driveraction1_V3,Driveraction2_V3,Mostapprthumancontrfactor1_V3,Mostapprthumancontrfactor2_V3,Mostapprthumancontrfactor3_V3,Autonomousvehiclecapability_V3,Drivercededcontrol_V3,Nonmotoristtype_V3,Nonmotoristmovement_V3,Nonmotoristlocation_V3,Nonmotoristlegofint_V3,Nonmotoristtypeoffacility_V3,Nonmotoristaction1_V3,Nonmotoristaction2_V3,Nonmotoristcontrfctr1_V3,Nonmotoristcontrfctr2_V3,Nonmotoristcontrfctr3_V3
250056812,6/30/2025 11:49:00 AM,6/30/2025 11:49:00 AM,0.00,0.00,3.00,0.00,false,true,true,false,39.29,-104.89,4800.00,BEAR DANCE DR,,On-roadway,1.00,1,Front to Rear,Front to Rear,,,Front to Rear,Straight,Level,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",26.00,Deployed at pos. only,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,North,Going Straight,35.00,45.00,45.00,Careless Driving,,Distracted/Other Interior,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",55.00,Not Deployed,Possible Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,North,Stopped in Traffic,35.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,Driver,None,None,No,Properly used,64.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Pickup Truck/Utility Van,No Special Function,false,North,Stopped in Traffic,35.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,
250056877,6/30/2025 2:28:00 PM,6/30/2025 2:28:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.52,-104.83,14000.00,RIDGEGATE PKWY,,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Not Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",20.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,West,Changing lanes,45.00,45.00,45.00,Careless Driving,,Driver Inexperience,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",45.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,West,Going Straight,45.00,45.00,45.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250056978,6/30/2025 6:50:00 PM,6/30/2025 6:50:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.53,-104.94,,MCARTHUR RANCH RD,GRIGS RD,On-roadway,1.00,2,Front to Side,,,,Front to Side,Straight,Level,Approach Turn,Daylight,At Intersection,Dry,Clear,,true,false,false,true,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",14.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,West,Making Left Turn,35.00,5.00,15.00,Failed to Yield ROW,Careless Driving,Driver Inexperience,Age / Driver Ability,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",47.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,Passenger Car/Passenger Van,No Special Function,false,East,Going Straight,35.00,5.00,35.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057015,6/30/2025 10:16:00 PM,6/30/2025 10:16:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.53,-104.76,11600.00,PINE DR,,On-roadway,0.00,1,Wild Animal,,,,Wild Animal,Straight,Uphill,Not Applicable,Dark-unlighted,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,South,Going Straight,40.00,40.00,40.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057118,7/1/2025 10:14:00 AM,7/1/2025 10:14:00 AM,0.00,0.00,2.00,0.00,false,false,false,false,39.53,-105.01,,HYACINTH RD,SPRING WATER PL,On-roadway,2.00,1,Front to Side,,,,Front to Side,Straight,Downhill,Approach Turn,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",25.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,Southwest,Making Left Turn,25.00,10.00,10.00,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",65.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,Northeast,Going Straight,25.00,33.00,30.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057213,6/30/2025 4:30:00 PM,6/30/2025 4:30:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.46,-104.91,7000.00,DANIELS PARK RD,,Ran off left side,0.00,1,Embankment,Fence,,,Fence,Curve Right,Level,Not Applicable,Daylight,Non-intersection,Dry,Clear,,true,false,false,,,,,,,,,,,,,,,,,,,Unknown Hit & Run Only,No Special Function,false,North,Negotiating a Curve,40.00,40.00,,Other Contributing Action,,Not Observed,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057316,7/1/2025 9:27:00 PM,7/1/2025 9:27:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.47,-104.70,9700.00,HILLTOP RD,,On-roadway,0.00,1,Wild Animal,,,,Wild Animal,Curve Right,Level,Not Applicable,Dawn or dusk,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",58.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,East,Going Straight,45.00,45.00,35.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057337,7/1/2025 10:38:00 PM,7/1/2025 10:38:00 PM,0.00,0.00,3.00,0.00,false,false,false,false,39.56,-104.94,8830.00,COPELAND ST,,On-roadway,1.00,,Parked Motor Vehicle,,,,Parked Motor Vehicle,Straight,Level,Not Applicable,Dark-lighted,Non-intersection,Dry,Clear,,false,false,false,false,true,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Unknown,"N/A Cars, truck, etc.",67.00,Deployed at pos. and others,No Apparent Injury,Yes Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,Southeast,Going Straight,25.00,35.00,35.00,Careless Driving,,Other Factor,,,No Automation,,,,,,,,,,,,false,false,true,,,,,,,,,,,,,,,,,,Passenger Car/Passenger Van,No Special Function,false,Southeast,Parked,,,,,,,,,,,,,,,,,,,,,false,false,true,,,,,,,,,,,,,,,,Passenger Car/Passenger Van,No Special Function,false,Southeast,Parked,,,,,,,,,,,,,,,,,,,,
250057522,7/2/2025 2:11:00 PM,7/2/2025 2:11:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-105.02,,HIGHLANDS RANCH PKWY,2283,On-roadway,2.00,1,Front to Side,,,,Front to Side,Straight,Level,Approach Turn,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",21.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,West,Making Left Turn,45.00,5.00,6.00,Failed to Yield ROW,Improper Turn,Looked / Did Not See,Driver Inexperience,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",45.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,Passenger Car/Passenger Van,No Special Function,false,East,Going Straight,45.00,35.00,35.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057547,7/2/2025 3:24:00 AM,7/2/2025 3:24:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-104.76,,PINE DR,PINE LN,On-roadway,0.00,1,Front to Rear,,,,Front to Rear,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",17.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,East,Making Left Turn,40.00,8.00,8.00,Failed to Yield ROW,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",78.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,Passenger Car/Passenger Van,No Special Function,false,North,Going Straight,40.00,15.00,15.00,Failed to Yield ROW,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057579,7/2/2025 4:27:00 PM,7/2/2025 4:27:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.57,-104.91,,NIAGARA ST,COUNTY LINE RD,On-roadway,0.00,0,Front to Rear,,,,Front to Rear,Straight,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",75.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,East,Going Straight,45.00,25.00,25.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",24.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,East,Stopped in Traffic,45.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057610,7/2/2025 6:09:00 PM,7/2/2025 6:09:00 PM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-104.76,11900.00,PINE DR,,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,North,Changing lanes,40.00,40.00,40.00,Careless Driving,,Driver Inexperience,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,North,Changing lanes,40.00,15.00,15.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057694,6/28/2025 10:51:00 PM,6/28/2025 10:51:00 PM,0.00,0.00,1.00,0.00,true,false,false,false,39.49,-104.93,8600.00,DANIELS PARK RD,,Ran off right side,1.00,1,Ground,Other Fixed Object,,,Ground,Straight,Level,Not Applicable,Dark-unlighted,Shared-Use Path or Trail,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,North,Going Straight,25.00,5.00,5.00,Disregarded Other Device / Sign / Markings,Over-Correcting / Over-Steering,Driver Inexperience,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057739,7/3/2025 8:24:00 AM,7/3/2025 8:24:00 AM,0.00,0.00,2.00,0.00,false,false,false,false,39.57,-104.90,,QUEBEC ST,COUNTY LINE RD,On-roadway,1.00,2,Front to Side,,,,Front to Side,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",70.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,South,Changing lanes,45.00,10.00,5.00,Lane Violation,,Medical,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",26.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,South,Going Straight,45.00,10.00,10.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250057812,7/3/2025 11:27:00 AM,7/3/2025 11:27:00 AM,0.00,0.00,1.00,0.00,false,false,false,false,39.37,-105.11,670.00,HWY 67,,Ran off left side,2.00,1,Overturning/Rollover,,,,Overturning/Rollover,Curve Right,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,Complied With,Motorcycle,Not used,Helmet Properly Used,37.00,Not Equipped,Possible Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Motorcycle,No Special Function,false,West,Negotiating a Curve,35.00,45.00,,Careless Driving,,Driver Unfamiliar With Area,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250058079,7/3/2025 10:21:00 PM,7/3/2025 10:21:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.56,-104.91,8800.00,QUEBEC ST,,On-roadway,0.00,1,Wild Animal,,,,Wild Animal,Curve Left,Level,Not Applicable,Dark-lighted,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",40.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,South,Negotiating a Curve,45.00,40.00,40.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250058765,7/5/2025 4:42:00 PM,7/5/2025 4:42:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.56,-104.86,367.00,INVERNESS PKWY,,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,Non-intersection,Dry,Clear,,true,false,false,,,,,,,,,,,,,,,,,,,Motorcycle,No Special Function,false,South,Going Straight,40.00,40.00,,Lane Violation,,Driver Inexperience,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",63.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,South,Going Straight,40.00,40.00,40.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250059024,7/6/2025 1:25:00 PM,7/6/2025 1:25:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.56,-104.90,,QUEBEC ST,BUSINESS CENTER DR,On-roadway,0.00,4,Front to Side,,,,Front to Side,Straight,Downhill,Not Applicable,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",89.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,Passenger Car/Passenger Van,No Special Function,false,East,Making Right Turn,35.00,10.00,10.00,Failed to Yield ROW,Improper Turn,Looked / Did Not See,Age / Driver Ability,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",22.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,Passenger Car/Passenger Van,No Special Function,false,South,Going Straight,45.00,30.00,35.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250059080,7/6/2025 3:48:00 PM,7/6/2025 3:48:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.93,,UNIVERSITY BLVD,CRESTHILL LN,On-roadway,1.00,4,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Compliance Not Known,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",18.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,West,Going Straight,45.00,40.00,30.00,Failed to Stop at Signal,,Driver Emotionally Upset,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",51.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,East,Making Left Turn,45.00,20.00,10.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250059136,7/6/2025 7:10:00 PM,7/6/2025 7:10:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.45,-104.78,,BAYOU GULCH RD,SCOTT AVE,Ran off right side,0.00,1,Curb,Embankment,,,Embankment,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Cloudy,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",21.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,North,Going Straight,40.00,45.00,45.00,Over-Correcting / Over-Steering,,Driver Inexperience,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250059253,7/7/2025 9:00:00 AM,7/7/2025 9:00:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.54,-104.94,,WILDCAT RESERVE PKWY,UNIVERSITY BLVD,On-roadway,1.00,4,Front to Rear,,,,Front to Rear,Straight,Level,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",45.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,North,Making Right Turn,45.00,5.00,5.00,Followed Too Closely,,No apparent contributing factor,,,Conditional Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",43.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,SUV,No Special Function,false,North,Making Right Turn,45.00,0.00,0.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250059261,7/7/2025 9:08:00 AM,7/7/2025 9:08:00 AM,0.00,0.00,1.00,2.00,true,false,false,false,39.52,-104.93,,MCARTHUR RANCH RD,VALLEYBROOK DR,On-roadway,2.00,2,Bicycle / Motorized Bicycle,Bicycle / Motorized Bicycle,,,Bicycle / Motorized Bicycle,Straight,Downhill,Not Applicable,Daylight,Intersection Related,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",58.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,North,Making Right Turn,30.00,5.00,5.00,Failed to Yield ROW,,Looked / Did Not See,Sun Glare,,Driver Assistance,,Scooter,Going Straight,Intersection-Marked Crosswalk,Southwest,Crosswalk,No Contributing Action,,,,,,,,,,,,,,,,Helmet Properly Used,13.00,,Possible Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,,,,,,,,,,,,,,,Scooter,Going Straight,Intersection-Marked Crosswalk,Southwest,Crosswalk,No Contributing Action,,,,,,,,,,,,,,,11.00,,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,,,,,,,,,,,,,,,,,,,,,,,,
