OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y
327,172005257,2017,7/19/2017 4:00,815,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,9. Northern Virginia,29,029. Fairfax County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00007WB,50.63,702627,73.33,-77.3550181,39.00578461
328,173195384,2017,11/15/2017 5:00,1620,B,0,0,2,0,2,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,30. Overturn (Rollover),2. Shoulder,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,No,1. Bristol,52,052. Lee County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,4,1. State Hwy Agency,Lenowisco,,R-VA   US00023SB,28.93,,,-82.79137923,36.80852372
329,171155157,2017,3/18/2017 4:00,1158,B,0,0,1,1,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,2. Acceleration/Deceleration Lanes,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00029NB,218.49,,,-77.60915432,38.79693335
330,173545317,2017,12/11/2017 5:00,2236,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,8. Yield Sign,1. Yes - Working,2. No,,,3. No,3. Utility Pole,4. Roadside,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,Yes,9. Northern Virginia,29,029. Fairfax County,6-Minor Collector (5),4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA029SC02459EB,1.33,263283,68.37,-77.18443861,38.80199846
331,171925348,2017,7/11/2017 4:00,1825,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,Yes,No,No,,RD_UNKNOWN,Not Intersection,No,Yes,Yes,No,7. Culpeper,2,002. Albemarle County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,3,1. State Hwy Agency,Thomas Jefferson,CVIL,R-VA002SC00729NB,4.37,,,-78.4037404,37.97634694
332,171485070,2017,5/26/2017 4:00,1240,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,1. Concrete,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,10,NOT_RD,Not Intersection,Yes,Yes,Yes,No,5. Hampton Roads,99,099. York County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   IS00064EB,240,,,-76.67226448,37.28824141
333,180295158,2017,12/28/2017 5:00,800,A,0,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,18. Mailbox,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,No,2. Salem,80,080. Roanoke County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,6,1. State Hwy Agency,Roanoke Valley-Alleghany,ROAN,R-VA080SC00605NB,0.76,,,-79.91824257,37.33155587
334,173175141,2017,11/9/2017 5:00,2340,O,0,0,0,0,0,0,0,2,1. Rear End,5. Rain,4. Darkness - Road Lighted,2. Wet,10. Intersection Related - Within 150 Feet,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00641WB,4.73,1094391,142.21,-77.25962902,38.67286461
335,171325412,2017,5/6/2017 4:00,1130,A,0,1,0,0,1,0,0,1,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,4. Stop Sign,1. Yes - Working,2. No,,,3. No,39. Fell/Jumped From Vehicle,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,Yes,No,No,,NOT_RD,Urban Intersection,No,No,Yes,No,5. Hampton Roads,114,114. City of Hampton,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,NonVDOT primary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,R-VA   US00060EB,269.32,1059779,25.97,-76.39360232,36.99419692
336,170815187,2017,3/22/2017 4:00,730,A,0,2,0,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,25,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,29,029. Fairfax County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00095NB,174.59,,,-77.10412241,38.8029455
337,171675020,2017,6/15/2017 4:00,2236,O,0,0,0,0,0,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,3. No,23. Animal,1. On Roadway,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,8. Staunton,82,082. Rockingham County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,2,1. State Hwy Agency,Central Shenandoah,,R-VA082SC00672SB,2.34,586272,110.21,-78.81623241,38.32630642
338,171515346,2017,5/29/2017 4:00,1120,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,5. Guard Rail,2. Shoulder,No,No,Belted,No,No,No,No,Yes,No,No,Yes,No,No,,NOT_RD,VDOT Intersection,No,No,No,No,8. Staunton,81,081. Rockbridge County,"1-Interstate (A,1)",1-One-Way Undivided,Rural,VDOT Interstate,6,1. State Hwy Agency,Central Shenandoah,,R-VA   IS00081SB      RMP200.00A,0.19,581335,59.17,-79.2862114,37.88646863
339,173075069,2017,11/2/2017 4:00,1144,K,1,3,0,1,4,0,0,6,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Unbelted,No,No,No,No,No,No,Yes,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,6. Fredericksburg,111,111. City of Fredericksburg,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,2,1. State Hwy Agency,George Washington Regional,FRED,R-VA   SR00003EB,32.24,617401,196.99,-77.49995133,38.29628778
340,170795230,2017,3/18/2017 4:00,2020,A,0,1,0,0,1,0,0,1,9. Fixed Object - Off Road,5. Rain,5. Darkness - Road Not Lighted,2. Wet,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,3. No,1. Bank Or Ledge,4. Roadside,No,No,Belted,No,Yes,Yes,No,No,No,No,No,No,Yes,20,RD_RIGHT,Not Intersection,No,Yes,Yes,Yes,8. Staunton,85,085. Shenandoah County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,2,1. State Hwy Agency,Northern Shenandoah Valley,,R-VA085SC00623SB,8.74,,,-78.50826469,38.94521969
341,170175297,2017,1/15/2017 5:00,2230,C,0,0,0,1,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Main-Line Roadway,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,15. Other Fixed Object,4. Roadside,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,5,RD_UNKNOWN,Not Intersection,No,Yes,Yes,Yes,2. Salem,154,154. Town of Christiansburg,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,6,3. City or Town Hwy Agency,New River Valley,NRV,S-VA154PR MOUNT PLEASANT RD,0.39,,,-80.31979554,37.13853757
342,172605249,2017,9/16/2017 4:00,1810,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,8. Non-Intersection,1. Straight - Level,1. Concrete,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,Yes,5,NOT_RD,Not Intersection,No,No,Yes,No,4. Richmond,123,123. City of Petersburg,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,1,1. State Hwy Agency,Crater,TCAT,R-VA   IS00095NB,52.69,,,-77.39558234,37.23395552
343,173525130,2017,12/14/2017 5:00,1908,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),3. Dusk,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00641WB,1.77,546280,65.25,-77.30936169,38.68433945
344,172055381,2017,7/24/2017 4:00,2050,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,Yes,5. Hampton Roads,122,122. City of Norfolk,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   IS00264WB,13.52,,,-76.18579689,36.84598796
345,173045218,2017,10/30/2017 4:00,600,A,0,1,2,0,3,0,0,4,2. Angle,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Unbelted,No,No,No,No,Yes,No,Yes,No,No,No,,RD_UNKNOWN,Not Intersection,Yes,No,Yes,Yes,3. Lynchburg,15,015. Campbell County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Rural,VDOT Primary,3,1. State Hwy Agency,Region 2000,LYN,R-VA   US00460EB,212.77,,,-79.02448595,37.37318
346,171985417,2017,7/17/2017 4:00,1920,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,5. On Entrance/Exit Ramp,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"4. One-Way, Not Divided",1. Not at Intersection,14. Ped Crosswalk,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,9. Northern Virginia,100,100. City of Alexandria,"3-Principal Arterial - Other (E,2)",1-One-Way Undivided,Urban,NonVDOT primary,7,3. City or Town Hwy Agency,Northern Virginia,NOVA,R-VA   SR00241NB      RMP002.00B,0.24,,,-77.071556,38.80614257
347,170095357,2017,1/9/2017 5:00,1635,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,Yes,5,NOT_RD,Not Intersection,No,No,Yes,No,6. Fredericksburg,16,016. Caroline County,"1-Interstate (A,1)",4-Two-Way Divided,Rural,VDOT Interstate,1,1. State Hwy Agency,George Washington Regional,,R-VA   IS00095NB,114.42,,,-77.50998775,38.07226442
348,173135264,2017,11/2/2017 4:00,1755,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,7. No Passing Lines,1. Yes - Working,2. No,,,3. No,1. Bank Or Ledge,2. Shoulder,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,No,2. Salem,31,031. Floyd County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,6,1. State Hwy Agency,New River Valley,,R-VA031SC00615SB,8.93,,,-80.32091044,36.96071834
349,171875410,2017,4/2/2017 4:00,219,O,0,0,0,0,0,0,0,2,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,4. Stop Sign,1. Yes - Working,2. No,,,3. No,6. Parked Vehicle,7. In Parking Lane or Zone,No,No,Belted,No,Yes,Yes,No,No,No,No,No,No,Yes,5,RD_UNKNOWN,Not Intersection,No,Yes,Yes,Yes,5. Hampton Roads,133,133. City of Suffolk,"7-Local (J,6)",,Urban,NonVDOT secondary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,S-VA133PR MORELAND ST,0.13,,,-76.41621244,36.87294914
350,171375228,2017,5/14/2017 4:00,858,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,11. Jersey Wall,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,25,RD_RIGHT,Not Intersection,No,No,Yes,No,5. Hampton Roads,134,134. City of Virginia Beach,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   IS00264WB,16.88,,,-76.13001739,36.83342139
351,171355237,2017,5/11/2017 4:00,1635,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain,2. Daylight,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,29,029. Fairfax County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA029SC00620WB,16.54,263353,64.05,-77.23497995,38.81109613
352,170965283,2017,4/5/2017 4:00,2053,B,0,0,1,0,1,0,0,3,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,No,No,Yes,Yes,5. Hampton Roads,134,134. City of Virginia Beach,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,S-VA134PR BURGESSES LN,0.13,,,-76.07820886,36.81460352
353,170375295,2017,2/2/2017 5:00,1938,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,5. On Entrance/Exit Ramp,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,Yes,No,Yes,9. Northern Virginia,29,029. Fairfax County,"1-Interstate (A,1)",1-One-Way Undivided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00495SB      RMP169.00B,0.24,,,-77.1782288,38.7897261
354,170445225,2017,2/12/2017 5:00,1222,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"4. One-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,3. Lynchburg,118,118. City of Lynchburg,2-Principal Arterial - Other Freeways and Expressways (B),1-One-Way Undivided,Urban,NonVDOT primary,3,3. City or Town Hwy Agency,Region 2000,LYN,R-VA   US00029SBBUS005RMP001.00A,0.24,,,-79.18316279,37.36155418
355,171005107,2017,4/10/2017 4:00,750,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,No,No,Yes,No,5. Hampton Roads,122,122. City of Norfolk,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,R-VA   SR00337EB,27.79,1048695,124.61,-76.29156318,36.85426617
356,173415275,2017,12/7/2017 5:00,950,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,Yes,35,NOT_RD,VDOT Intersection,No,No,Yes,No,6. Fredericksburg,89,089. Stafford County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,2,1. State Hwy Agency,George Washington Regional,FRED,R-VA089SC00610EB,2.93,621084,39.74,-77.51889553,38.50446743
357,171085219,2017,4/18/2017 4:00,847,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,2. Curve - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,Yes,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,7. Culpeper,30,030. Fauquier County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,2,1. State Hwy Agency,Rappahannock - Rapidan,NOVA,R-VA   US00029SB,211.9,313954,66.05,-77.72384131,38.76640601
358,171085409,2017,4/17/2017 4:00,2121,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,28. Ran Off Road,1. On Roadway,No,No,Belted,No,No,No,No,Yes,No,No,No,No,Yes,5,RD_UNKNOWN,Not Intersection,No,Yes,Yes,Yes,6. Fredericksburg,89,089. Stafford County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Rural,VDOT Primary,2,1. State Hwy Agency,George Washington Regional,,R-VA   SR00003WB,42.22,,,-77.34141747,38.26066094
359,171075078,2017,4/10/2017 4:00,1320,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,Yes,15,NOT_RD,VDOT Intersection,No,No,Yes,No,5. Hampton Roads,99,099. York County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,5,1. State Hwy Agency,Hampton Roads,HAMP,R-VA   SR00143SB,31.05,671549,197.01,-76.6518983,37.24380139
360,172385114,2017,8/25/2017 4:00,2308,B,0,0,1,0,1,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,No,Yes,Yes,Yes,7. Culpeper,204,204. Town of Culpeper,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,NonVDOT primary,2,3. City or Town Hwy Agency,Rappahannock - Rapidan,,R-VA   US00015NBBUS004,3.39,718070,5.55,-77.97751708,38.48111283
